time,channel,state,result
2026-04-24T10:59:33.295861,-1,ON,ALL
2026-04-24T10:59:34.298259,-1,ON,ALL
2026-04-24T10:59:35.298051,-1,ON,ALL
2026-04-24T10:59:36.297892,-1,ON,ALL
2026-04-24T10:59:37.298542,-1,ON,ALL
2026-04-24T10:59:38.298276,-1,ON,ALL
2026-04-24T10:59:39.297916,-1,ON,ALL
2026-04-24T10:59:40.297586,-1,ON,ALL
2026-04-24T10:59:48.880894,-1,OFF,ALL
2026-04-24T10:59:49.883635,-1,OFF,ALL
2026-04-24T10:59:50.884038,-1,OFF,ALL
2026-04-24T10:59:51.881707,-1,OFF,ALL
2026-04-24T10:59:52.880862,-1,OFF,ALL
2026-04-24T10:59:53.882330,-1,OFF,ALL
2026-04-24T10:59:54.881633,-1,OFF,ALL
2026-04-24T10:59:55.883694,-1,OFF,ALL
2026-04-24T10:59:56.883024,-1,OFF,ALL
2026-04-24T10:59:57.883251,-1,OFF,ALL
2026-04-24T10:59:58.883386,-1,OFF,ALL
2026-04-24T10:59:59.881056,-1,OFF,ALL
2026-04-24T11:00:00.883549,-1,OFF,ALL
2026-04-24T11:00:01.883624,-1,OFF,ALL
2026-04-24T11:00:02.883602,-1,OFF,ALL
2026-04-24T11:00:03.884012,-1,OFF,ALL
2026-04-24T11:00:04.883177,-1,OFF,ALL
2026-04-24T11:00:05.883135,-1,OFF,ALL
2026-04-24T11:00:06.883563,-1,OFF,ALL
2026-04-24T11:00:07.882771,-1,OFF,ALL
2026-04-24T11:00:08.884266,-1,OFF,ALL
2026-04-24T11:00:09.883907,-1,OFF,ALL
2026-04-24T11:00:10.883643,-1,OFF,ALL
2026-04-24T11:00:11.883997,-1,OFF,ALL
2026-04-24T11:00:12.882853,-1,OFF,ALL
2026-04-24T11:00:13.883861,-1,OFF,ALL
2026-04-24T11:00:14.882875,-1,OFF,ALL
2026-04-24T11:00:15.883289,-1,OFF,ALL
2026-04-24T11:00:16.881261,-1,OFF,ALL
2026-04-24T11:00:17.881965,-1,OFF,ALL
2026-04-24T11:00:18.882411,-1,OFF,ALL
2026-04-24T11:00:19.882782,-1,OFF,ALL
2026-04-24T11:00:20.882562,-1,OFF,ALL
2026-04-24T11:00:21.883233,-1,OFF,ALL
2026-04-24T11:00:22.881684,-1,OFF,ALL
2026-04-24T11:00:23.883415,-1,OFF,ALL
2026-04-24T11:00:24.882683,-1,OFF,ALL
2026-04-24T11:00:25.881312,-1,OFF,ALL
2026-04-24T11:00:26.883071,-1,OFF,ALL
2026-04-24T11:00:27.883772,-1,OFF,ALL
2026-04-24T11:00:42.868565,-1,OFF,ALL
2026-04-24T11:00:43.871428,-1,OFF,ALL
2026-04-24T11:00:44.872280,-1,OFF,ALL
2026-04-24T11:00:45.871848,-1,OFF,ALL
2026-04-24T11:00:46.871825,-1,OFF,ALL
2026-04-24T11:00:47.871243,-1,OFF,ALL
2026-04-24T11:00:48.869711,-1,OFF,ALL
2026-04-24T11:00:49.871936,-1,OFF,ALL
2026-04-24T11:00:50.871913,-1,OFF,ALL
2026-04-24T11:00:51.870911,-1,OFF,ALL
2026-04-24T11:00:52.871730,-1,OFF,ALL
2026-04-24T11:01:04.722602,-1,ON,ALL
2026-04-24T11:01:05.722689,-1,ON,ALL
2026-04-24T11:01:06.725763,-1,ON,ALL
2026-04-24T11:01:07.725693,-1,ON,ALL
2026-04-24T11:01:08.724398,-1,ON,ALL
2026-04-24T11:01:19.622634,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:20.625172,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:21.623675,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:22.923549,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:23.624890,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:24.625016,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:25.625120,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:26.625030,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:27.923775,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:28.625005,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:29.625030,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:30.625083,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:31.624979,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:32.923613,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:33.624925,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:34.624820,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:35.624879,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:36.624809,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:37.924377,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:38.624834,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:39.625071,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:40.624854,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:41.625165,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:42.922180,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:43.623684,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:44.624985,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:45.624383,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:46.625178,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:47.922692,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:48.623068,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:49.624773,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:50.625078,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:51.623079,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:52.921604,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:53.625046,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:54.625022,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:55.624714,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:56.624745,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:57.920298,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:58.624762,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:01:59.624423,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:02:00.624533,-1,OFF,ERROR Invalid ALL command
2026-04-24T11:02:06.116805,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:07.119065,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:08.119418,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:09.119098,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:10.119319,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:11.118933,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:12.119155,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:13.119254,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:14.119101,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:15.118714,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:16.119350,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:17.119139,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:18.119105,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:19.119323,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:20.118668,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:21.119095,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:22.118916,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:23.119081,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:24.118936,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:31.329536,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:32.331508,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:33.331335,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:34.331752,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:35.330080,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:36.332026,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:37.331623,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:38.331360,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:39.331639,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:40.332021,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:41.331927,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:42.332007,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:43.331929,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:44.331227,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:45.331774,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:46.332155,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
2026-04-24T11:02:47.331911,-1,OFF,"ERROR Format: ""<ch> ON|OFF"" or ""ALL ON|OFF"""
