time,channel,state,result
2026-02-03T17:18:07.098406,0,ON,OK
2026-02-03T17:18:08.100925,0,ON,OK
2026-02-03T17:18:09.101097,0,ON,OK
2026-02-03T17:18:10.100611,0,ON,OK
2026-02-03T17:18:11.100913,0,ON,OK
2026-02-03T17:18:17.115269,1,ON,OK
2026-02-03T17:18:18.117841,1,ON,OK
2026-02-03T17:18:19.117840,1,ON,OK
2026-02-03T17:18:20.117930,1,ON,OK
2026-02-03T17:18:21.117600,1,ON,OK
2026-02-03T17:18:22.118122,1,ON,OK
2026-02-03T17:18:23.117768,1,ON,OK
2026-02-03T17:18:24.117867,1,ON,OK
2026-02-03T17:18:25.117743,1,ON,OK
2026-02-03T17:18:26.118031,1,ON,OK
2026-02-03T17:18:27.117987,1,ON,OK
2026-02-03T17:18:28.118016,1,ON,OK
2026-02-03T17:18:29.118047,1,ON,OK
2026-02-03T17:18:30.118049,1,ON,OK
2026-02-03T17:18:31.117898,1,ON,OK
2026-02-03T17:18:32.117881,1,ON,OK
2026-02-03T17:18:33.117770,1,ON,OK
2026-02-03T17:18:34.117810,1,ON,OK
2026-02-03T17:18:35.117857,1,ON,OK
2026-02-03T17:18:36.117876,1,ON,OK
2026-02-03T17:18:37.117856,1,ON,OK
2026-02-03T17:18:38.118123,1,ON,OK
2026-02-03T17:18:39.117759,1,ON,OK
2026-02-03T17:18:40.118135,1,ON,OK
2026-02-03T17:18:41.117919,1,ON,OK
2026-02-03T17:18:54.876543,1,OFF,OK
2026-02-03T17:18:55.877189,1,OFF,OK
2026-02-03T17:18:56.879040,1,OFF,OK
2026-02-03T17:18:57.877277,1,OFF,OK
2026-02-03T17:18:58.879066,1,OFF,OK
2026-02-03T17:18:59.878847,1,OFF,OK
2026-02-03T17:19:00.878897,1,OFF,OK
2026-02-03T17:19:01.878759,1,OFF,OK
2026-02-03T17:19:02.878736,1,OFF,OK
