time,channel,state,result
2026-02-05T00:28:26.213316,7,ON,OK
2026-02-05T01:36:23.079066,7,OFF,OK
2026-02-05T01:36:55.304767,7,ON,OK
2026-02-05T01:37:59.610524,7,OFF,OK
2026-02-05T01:38:10.688311,7,ON,OK
2026-02-05T01:47:04.287460,7,OFF,OK
2026-02-05T01:50:31.484304,7,ON,OK
2026-02-05T01:50:46.654330,7,OFF,OK
2026-02-05T01:51:15.004847,7,ON,OK
2026-02-05T01:54:23.279578,7,OFF,OK
2026-02-05T01:54:32.938358,7,ON,OK
2026-02-05T02:02:15.609833,7,OFF,OK
2026-02-05T02:02:24.205894,7,ON,OK
2026-02-05T02:06:31.491086,7,OFF,OK
2026-02-05T02:06:41.800671,7,ON,OK
2026-02-05T06:12:44.599282,7,OFF,OK
2026-02-05T06:12:58.116393,7,ON,OK
2026-02-05T06:13:29.363506,7,OFF,OK
2026-02-05T06:13:40.352115,7,ON,OK
2026-02-05T06:36:34.864997,7,OFF,OK
2026-02-05T06:36:38.422039,7,ON,OK
2026-02-05T06:45:19.674864,7,OFF,OK
2026-02-05T06:45:23.798277,7,ON,OK
2026-02-05T06:49:50.243370,7,OFF,OK
2026-02-05T06:50:05.529465,7,ON,OK
