time,channel,state,result
2026-04-30T10:46:28.450127,0,ON,OK
2026-04-30T10:46:32.448022,0,OFF,OK
2026-04-30T10:46:38.804697,1,ON,OK
2026-04-30T10:46:42.370118,1,OFF,OK
2026-04-30T10:46:46.200730,-1,ON,ALL
2026-04-30T10:50:05.897577,0,OFF,OK
2026-04-30T10:50:06.916956,0,ON,OK
2026-04-30T10:50:08.481383,1,OFF,OK
2026-04-30T10:50:09.928165,1,ON,OK
2026-04-30T10:50:12.358157,2,OFF,OK
2026-04-30T10:50:13.321769,2,ON,OK
2026-04-30T10:52:39.865973,1,OFF,OK
2026-04-30T10:52:42.682518,2,OFF,OK
2026-04-30T10:52:49.426800,2,ON,OK
2026-04-30T10:58:49.006830,-1,ON,ALL
2026-04-30T10:58:53.008051,-1,OFF,ALL
2026-04-30T10:58:58.807842,-1,ON,ALL
2026-04-30T12:56:19.674021,-1,OFF,ALL
