time,channel,state,result
2026-02-03T17:51:44.520250,6,ON,OK
2026-02-03T17:51:45.522407,6,ON,OK
2026-02-03T17:51:46.522030,6,ON,OK
2026-02-03T17:51:47.522461,6,ON,OK
2026-02-03T17:51:48.523020,6,ON,OK
2026-02-03T17:51:49.522982,6,ON,OK
2026-02-03T17:51:50.522152,6,ON,OK
2026-02-03T17:52:16.285837,8,OFF,INVALID_CHANNEL
2026-02-03T17:52:17.287838,8,OFF,INVALID_CHANNEL
2026-02-03T17:52:18.288070,8,OFF,INVALID_CHANNEL
2026-02-03T17:52:19.287650,8,OFF,INVALID_CHANNEL
2026-02-03T17:52:20.287997,8,OFF,INVALID_CHANNEL
2026-02-03T17:52:21.288518,8,OFF,INVALID_CHANNEL
2026-02-03T17:52:22.288034,8,OFF,INVALID_CHANNEL
2026-02-03T17:52:23.287893,8,OFF,INVALID_CHANNEL
2026-02-03T17:52:24.287370,8,OFF,INVALID_CHANNEL
2026-02-03T17:52:25.288156,8,OFF,INVALID_CHANNEL
2026-02-03T17:52:26.287854,8,OFF,INVALID_CHANNEL
2026-02-03T17:52:27.287832,8,OFF,INVALID_CHANNEL
2026-02-03T17:52:28.288168,8,OFF,INVALID_CHANNEL
2026-02-03T18:06:29.652468,6,ON,OK
2026-02-03T18:06:30.654939,6,ON,OK
2026-02-03T18:06:31.655016,6,ON,OK
2026-02-03T18:06:32.655269,6,ON,OK
2026-02-03T18:06:33.654768,6,ON,OK
2026-02-03T18:06:34.654817,6,ON,OK
2026-02-03T18:06:35.654861,6,ON,OK
2026-02-03T18:06:36.654815,6,ON,OK
2026-02-03T18:06:37.654790,6,ON,OK
2026-02-03T18:06:38.654960,6,ON,OK
2026-02-03T18:07:04.848964,8,OFF,INVALID_CHANNEL
2026-02-03T18:07:13.954846,7,ON,OK
2026-02-03T18:07:23.005782,7,OFF,OK
2026-02-03T18:07:37.316996,1,ON,OK
2026-02-03T18:07:50.640430,-1,OFF,ERROR Write failed
2026-02-03T18:08:06.671705,-1,OFF,ERROR Modbus in FAULT state
