time,channel,state,result
2026-02-03T17:36:01.853486,1,ON,OK
2026-02-03T17:36:02.856145,1,ON,OK
2026-02-03T17:36:03.856386,1,ON,OK
2026-02-03T17:36:04.856598,1,ON,OK
2026-02-03T17:36:10.875193,8,OFF,INVALID_CHANNEL
2026-02-03T17:36:11.876023,8,OFF,INVALID_CHANNEL
2026-02-03T17:36:12.876037,8,OFF,INVALID_CHANNEL
2026-02-03T17:36:13.874599,8,OFF,INVALID_CHANNEL
2026-02-03T17:36:14.874909,8,OFF,INVALID_CHANNEL
2026-02-03T17:36:15.875275,8,OFF,INVALID_CHANNEL
2026-02-03T17:36:16.875329,8,OFF,INVALID_CHANNEL
2026-02-03T17:36:17.874671,8,OFF,INVALID_CHANNEL
2026-02-03T17:36:18.876618,8,OFF,INVALID_CHANNEL
2026-02-03T17:36:25.331945,7,ON,OK
2026-02-03T17:36:26.334270,7,ON,OK
2026-02-03T17:36:27.334079,7,ON,OK
2026-02-03T17:36:28.334356,7,ON,OK
2026-02-03T17:36:29.334017,7,ON,OK
2026-02-03T17:36:30.334523,7,ON,OK
2026-02-03T17:36:31.334441,7,ON,OK
2026-02-03T17:36:32.334209,7,ON,OK
2026-02-03T17:36:33.334319,7,ON,OK
2026-02-03T17:36:35.336399,-1,OFF,ERROR Write failed
2026-02-03T17:36:39.880120,-1,OFF,ERROR Modbus not ready
2026-02-03T17:36:40.882555,-1,OFF,ERROR Modbus not ready
2026-02-03T17:36:43.089051,-1,OFF,ERROR Write failed
2026-02-03T17:36:43.091150,-1,OFF,ERROR Modbus not ready
2026-02-03T17:36:43.882113,-1,OFF,ERROR Modbus not ready
2026-02-03T17:36:44.882372,-1,OFF,ERROR Modbus not ready
2026-02-03T17:36:45.882371,-1,OFF,ERROR Modbus not ready
2026-02-03T17:36:48.088384,-1,OFF,ERROR Write failed
2026-02-03T17:36:48.090522,-1,OFF,ERROR Modbus not ready
2026-02-03T17:36:48.882054,-1,OFF,ERROR Modbus not ready
2026-02-03T17:36:49.882060,-1,OFF,ERROR Modbus not ready
2026-02-03T17:36:50.882112,-1,OFF,ERROR Modbus not ready
2026-02-03T17:36:53.087994,-1,OFF,ERROR Write failed
2026-02-03T17:36:53.090183,-1,OFF,ERROR Modbus not ready
